canonical_smiles,standard_value,B01[C-C],B02[C-C],B03[C-C],B04[C-C],B05[C-C]
COc1ccc2nc3cc(C(=O)NCCCN(C)CCCNC(=O)c4ccc(NCCN(C)C)c5c(O)c6cc(OC)ccc6nc45)cc(NCCN(C)C)c3c(O)c2c1,2.0,1.0,1.0,1.0,1.0,1.0
N=C(N)c1ccc(C2=NOC(CC(=O)NC[C@H](NS(=O)(=O)c3cnn(-c4ccccc4)c3)C(=O)O)C2)cc1.O=C(O)C(F)(F)F,72.0,1.0,1.0,1.0,1.0,1.0
CCOC(=O)/C(=C\c1cccc(OCC(=O)O)c1OC)c1nc(-c2ccccc2)c(-c2ccccc2)o1,130.0,1.0,1.0,1.0,1.0,1.0
N#Cc1cc(-c2ccccc2)c2ccc(OCc3cccc(C4(O)CCOCC4)c3)cc2c1,3.0,1.0,1.0,1.0,1.0,1.0
Oc1ccc2c(c1CCCSc1ccccc1)CCO2,120.0,1.0,1.0,1.0,1.0,1.0
NC(=O)CCN(CCC(N)=O)S(=O)(=O)c1cccc(Nc2nc(Nc3cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c3)nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c6)nc(Nc6cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c6)n5)cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)n2)c1,150.0,1.0,1.0,1.0,1.0,1.0
Oc1ccc2c3c1O[C@H]1c4c(c(-c5ccccc5)cn4Cc4ccccc4)C[C@@]4(O)C(C2)N(CC2CC2)CC[C@]314,2.87,1.0,1.0,1.0,1.0,1.0
C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1ccc(O)cc1,6.0,1.0,1.0,1.0,1.0,1.0
O=C(O)C[C@@H](CCc1ccccc1)NC(=O)CN1CCc2ccc(N3CCNCC3)cc2C1=O,16.0,1.0,1.0,1.0,1.0,1.0
O=C(O)C[C@H](NC(=O)CN1CCc2ccc(N3CCNCC3)cc2C1=O)c1cccnc1,13.0,1.0,1.0,1.0,1.0,1.0
CC1=C(O)C(=O)C=C2C1=CC=C1C(C)(C)C(=O)CCC21C,80.0,1.0,1.0,1.0,1.0,1.0
